api_id,name,start,city,venue,url,hosts,guests,price,approval,sold_out,first_seen,relevant
evt-7gQE1AmO5a9tvpy,Hermes FDE Madrid (also live on X),2026-08-25,Madrid,"Pl. del Callao, 1",https://luma.com/ba193a1o,Barto Molina; Alvaro Fragoso,68,free,yes,yes,2026-08-25,no
evt-GmRsAEeELNqNT0T,Guiris Speed Dating Experience 💕,2026-08-26,Madrid,Relais de Paris - Restaurante Barrio Salamanca,https://luma.com/n33szbd9,Guiris de Mierda; Anna Monkhe,13,12 eur,yes,no,2026-08-25,no
evt-Z66w3ufkYH8XlPU,Madrid Fintech Community | August Meetup,2026-08-27,Madrid,Hotel Urban,https://luma.com/o08wbp3i,Anna Kachur | Brand & GTM; Yanis Taieb,92,free,no,yes,2026-08-25,yes
seed-o7q7sbyh,Link Networking Madrid,2026-08-27,Madrid,,https://luma.com/o7q7sbyh,Nicholas Kapaz / Link School of Business / Higor Lambach,31,Free,no,no,2026-08-19,yes
evt-NGGfhZ3MF6LF7nF,💿 SUMMER PARTY 2026 | THE MILLENNIUM | Madrid 💿,2026-08-29,Madrid,Generator Madrid,https://luma.com/iq1wk8sx,Guiris de Mierda; Nicholas Farrell; Enmary Margaret,169,25 eur,no,no,2026-08-25,no
seed-q7w9eyb8,Madrid Founders Mixer (PATHSDATA),2026-08-29,Madrid,,https://luma.com/q7w9eyb8,Dhruvil Shah,3,Free,no,no,2026-08-19,yes
evt-5psjDTrIXR1UGQI,Beyond The Prompt | Maex Arment (Causa Prima) & Carlos Riquelme (Microsoft AI) & Alejandro Vidal (Mindmakers),2026-09-01,Madrid,Mad Tech Campus,https://luma.com/e1vxqvq8,Jaime Novoa,0,free,yes,no,2026-08-25,yes
evt-1gEW1i9I04uSKg8,SOCIAL RUN & DINNER EN RELLENO,2026-09-03,Madrid,Relleno,https://luma.com/kd0crbjn,monica rodriguez,0,free,no,no,2026-08-25,no
seed-9vsn5cbe,Link Networking Madrid,2026-09-03,Madrid,,https://luma.com/9vsn5cbe,Nicholas Kapaz,5,Free,no,no,2026-08-19,yes
seed-feelfever,FEEL THE FEVER Networking,2026-09-03,Madrid,,https://luma.com/feelfever,The Great Fever,21,EUR 10,no,no,2026-08-19,yes
seed-dw1br936,Madrid AI Builders Friday Networking,2026-09-04,Madrid,,https://luma.com/dw1br936,Matt ffrench,28,Free,no,no,2026-08-19,yes
evt-dxx8ldwEX0VnJOF,Ahead x Magnific,2026-09-09,Madrid,Central de Diseño,https://luma.com/qkelc5sg,Tailor Hub; Diego Méndez Peño,87,free,yes,no,2026-08-25,no
evt-lIKMzI2eGiupSOU,The social workout,2026-09-12,Madrid,"C. de Trafalgar, 17",https://luma.com/3vejplq7,monica rodriguez,0,25 eur,no,no,2026-08-25,no
seed-4wus7gkl,Sports and Capital Investor Dinner,2026-09-14,Madrid,,https://luma.com/4wus7gkl,Tim J Robertson / Jorge Rolis,25,USD 250,no,no,2026-08-19,yes
evt-f8aWVrUa03CilAr,How to stop your AI agent from amplifying your team's tech debt,2026-09-17,Madrid,Puerta Innovación,https://luma.com/mq1ffwe1,Asier Marqués,40,free,no,yes,2026-08-25,yes
seed-zgrwmvxc,LSE Generate Chapter Launch Madrid,2026-09-17,Madrid,,https://luma.com/zgrwmvxc,LSE Generate,0,Free,no,no,2026-08-19,yes
seed-h6z7na7z,Real AI - Ingenieria agentica,2026-09-17,Madrid,,https://luma.com/h6z7na7z,Alejandro Vidal / Eusebio Graciani / Alvaro Fragoso,74 SOLD OUT,Free,no,yes,2026-08-19,yes
seed-f8fdiy9t,3 FOUNDERS 3 PROBLEMAS,2026-09-18,Madrid,,https://luma.com/f8fdiy9t,Ismael Romero / Tomas Stambulsky / Luis Rodrigo / Lynn,near capacity,EUR 10,no,no,2026-08-19,yes
evt-sliSVmB5ejqFysI,APERITIVO,2026-09-20,Madrid,Vrro Castellana,https://luma.com/mvm50e28,monica rodriguez,0,free,no,no,2026-08-25,no
seed-socgruap,MERGE Madrid Startup Contest 2026,2026-09-21,Madrid,,https://luma.com/socgruap,MERGE Madrid / Natalia Gonzalez / Paula Pascual,143 spots left,Free,no,no,2026-08-19,yes
