date,days,status,bucket,event,organizer,price,guests,url,why
2026-08-27,2,REGISTER NOW (2d),ATTEND,Link Networking Madrid,Nicholas Kapaz / Link School of Business / Higor Lambach,Free,31,https://luma.com/o7q7sbyh,Free recurring networking - organiser runs a series
2026-08-27,2,REGISTER NOW (2d),PRE-PITCH,Madrid Fintech Community Meetup,Anna Kachur / Yanis Taieb,Free,75 SOLD OUT,https://luma.com/o08wbp3i,Sold out at 75 - proven demand
2026-08-29,4,this week (4d),ATTEND,Madrid Founders Mixer (PATHSDATA),Dhruvil Shah,Free,3,https://luma.com/q7w9eyb8,Founder crowd - low barrier
2026-09-01,7,this week (7d),ATTEND,Beyond The Prompt,Jaime Novoa,Free,near capacity,https://luma.com/e1vxqvq8,Jaime Novoa is a well-connected ES tech figure
2026-09-03,9,this week (9d),ATTEND,Link Networking Madrid,Nicholas Kapaz,Free,5,https://luma.com/9vsn5cbe,Second run of the same series
2026-09-03,9,this week (9d),ATTEND,FEEL THE FEVER Networking,The Great Fever,EUR 10,21,https://luma.com/feelfever,Social - lighter touch
2026-09-04,10,this week (10d),ATTEND,Madrid AI Builders Friday Networking,Matt ffrench,Free,28,https://luma.com/dw1br936,Recurring AI builder community - warm audience for AI matchmaking
2026-09-09,15,15d away,ATTEND,Ahead x Magnific,Tailor Hub / Diego Mendez Peno,Free,74,https://luma.com/qkelc5sg,74 guests - good size to observe networking pain
2026-09-14,20,20d away,PRE-PITCH,Sports and Capital Investor Dinner,Tim J Robertson / Jorge Rolis,USD 250,25,https://luma.com/4wus7gkl,Invite-only investor matchmaking - exactly Niah's use case
2026-09-17,23,23d away,PRE-PITCH,LSE Generate Chapter Launch Madrid,LSE Generate,Free,0,https://luma.com/zgrwmvxc,International chapter network - multi-city potential
2026-09-17,23,23d away,PRE-PITCH,MadAi - AI agent tech debt,Asier Marques,Free,37,https://luma.com/mq1ffwe1,MadAi is a recurring Madrid AI community
2026-09-17,23,23d away,PRE-PITCH,Real AI - Ingenieria agentica,Alejandro Vidal / Eusebio Graciani / Alvaro Fragoso,Free,74 SOLD OUT,https://luma.com/h6z7na7z,Sold out at 74 - active recurring community
2026-09-18,24,24d away,ATTEND,3 FOUNDERS 3 PROBLEMAS,Ismael Romero / Tomas Stambulsky / Luis Rodrigo / Lynn,EUR 10,near capacity,https://luma.com/f8fdiy9t,Founder problem-solving format
2026-09-21,27,27d away,PRE-PITCH,MERGE Madrid Startup Contest 2026,MERGE Madrid / Natalia Gonzalez / Paula Pascual,Free,143 spots left,https://luma.com/socgruap,150-cap startup contest - startups+investors+corporates need matching
2026-10-02,38,38d away,ATTEND,SheAI ft. Pitchless Show-and-Tell,Petra SheAI Madrid / Sarah Malinowski / Geoffrey (Pitchless),Free,31,https://luma.com/6c3cl0u5,Show-and-tell format - you can literally demo
2026-10-07,43,43d away,PRE-PITCH,ALAIAN Frontier Summit,Alaian / Eduardo Gonzalez Canal,Free (approval),9,https://luma.com/ia806kyk,THREE-DAY summit - biggest Luma event found
2026-10-07,43,43d away,PRE-PITCH,PATIO AI & Creativity Summit (Talks),PATIO Campus,Free (approval),8,https://luma.com/580fva25,Multi-track summit - talks plus hackathon same day
2026-10-07,43,43d away,PRE-PITCH,PATIO AI & Creativity Summit (Hackathon),PATIO Campus,Free (approval),0,https://luma.com/jvzhhxl1,Same organiser - team formation is a matchmaking problem
2026-10-07,43,43d away,PRE-PITCH,Meetup IA FinOps y Transformacion Real,Smart Clouds / FinOps Weekly,Free,20,https://luma.com/036wqk98,SpainClouds runs a recurring series
2026-10-22,58,58d away,PRE-PITCH,AWS Innovation Breakfast by TIDORA,Radek Forgac / Anna Machalkova / Dominik Snopek,Free (approval),0,https://luma.com/89hx79ly,Corporate venue - TIDORA runs recurring AWS events
