Bucket,Event,Date,Venue,Organizer(s),Luma Calendar,Guests,Price,URL,Why
ATTEND,Madrid Tech Brunch,2026-08-23,Centro (hidden),Diana Agliamutdinova / Andrei Bazhin,madrid-tech-brunch,18,EUR 5,https://luma.com/5n3ofz46,Small recurring brunch - easy first conversation
ATTEND,Link Networking Madrid,2026-08-27,Salamanca,Nicholas Kapaz / Link School of Business / Higor Lambach,-,31,Free,https://luma.com/o7q7sbyh,Free recurring networking - organiser runs a series
ATTEND,Madrid Founders Mixer (PATHSDATA),2026-08-29,Madrid,Dhruvil Shah,-,3,Free,https://luma.com/q7w9eyb8,Founder crowd - low barrier
ATTEND,Beyond The Prompt,2026-09-01,Mad Tech Campus,Jaime Novoa,-,near capacity,Free,https://luma.com/e1vxqvq8,Jaime Novoa is a well-connected ES tech figure
ATTEND,Link Networking Madrid,2026-09-03,Salamanca,Nicholas Kapaz,-,5,Free,https://luma.com/9vsn5cbe,Second run of the same series
ATTEND,FEEL THE FEVER Networking,2026-09-03,Palacio,The Great Fever,guirisdemierda,21,EUR 10,https://luma.com/feelfever,Social - lighter touch
ATTEND,Madrid AI Builders Friday Networking,2026-09-04,Generator Madrid,Matt ffrench,MadridAIBuilders,28,Free,https://luma.com/dw1br936,Recurring AI builder community - warm audience for AI matchmaking
ATTEND,Ahead x Magnific,2026-09-09,Central de Diseno,Tailor Hub / Diego Mendez Peno,tailor-hub,74,Free,https://luma.com/qkelc5sg,74 guests - good size to observe networking pain
ATTEND,3 FOUNDERS 3 PROBLEMAS,2026-09-18,Madrid,Ismael Romero / Tomas Stambulsky / Luis Rodrigo / Lynn,nolazypeople,near capacity,EUR 10,https://luma.com/f8fdiy9t,Founder problem-solving format
ATTEND,SheAI ft. Pitchless Show-and-Tell,2026-10-02,Puerta Innovacion,Petra SheAI Madrid / Sarah Malinowski / Geoffrey (Pitchless),-,31,Free,https://luma.com/6c3cl0u5,Show-and-tell format - you can literally demo
PRE-PITCH,Madrid Fintech Community Meetup,2026-08-27,Hotel Urban,Anna Kachur / Yanis Taieb,-,75 SOLD OUT,Free,https://luma.com/o08wbp3i,Sold out at 75 - proven demand, recurring community
PRE-PITCH,Sports and Capital Investor Dinner,2026-09-14,Tour Bernabeu,Tim J Robertson / Jorge Rolis,r2exchange,25,USD 250,https://luma.com/4wus7gkl,Invite-only investor matchmaking - exactly Niah's use case
PRE-PITCH,LSE Generate Chapter Launch Madrid,2026-09-17,Madrid,LSE Generate,lsegenerate,0,Free,https://luma.com/zgrwmvxc,International chapter network - multi-city potential
PRE-PITCH,MERGE Madrid Startup Contest 2026,2026-09-21,Digitaliza Madrid,MERGE Madrid / Natalia Gonzalez / Paula Pascual,MERGEMadrid26,143 spots left,Free,https://luma.com/socgruap,150-cap startup contest - startups+investors+corporates need matching
PRE-PITCH,ALAIAN Frontier Summit,2026-10-07 to 10-09,Madrid,Alaian / Eduardo Gonzalez Canal,-,9,Free (approval),https://luma.com/ia806kyk,THREE-DAY summit - biggest Luma event found, strongest target
PRE-PITCH,PATIO AI & Creativity Summit (Talks),2026-10-07,Patio Campus,PATIO Campus,-,8,Free (approval),https://luma.com/580fva25,Multi-track summit - talks plus hackathon same day
PRE-PITCH,PATIO AI & Creativity Summit (Hackathon),2026-10-07,Patio Campus,PATIO Campus,-,0,Free (approval),https://luma.com/jvzhhxl1,Same organiser - team formation is a matchmaking problem
PRE-PITCH,Meetup IA FinOps y Transformacion Real,2026-10-07,NEXT DIGITAL,Smart Clouds / FinOps Weekly,spainclouds,20,Free,https://luma.com/036wqk98,SpainClouds runs a recurring series
PRE-PITCH,AWS Innovation Breakfast by TIDORA,2026-10-22,Amazon HQ Madrid,Radek Forgac / Anna Machalkova / Dominik Snopek,tidora,0,Free (approval),https://luma.com/89hx79ly,Corporate venue - TIDORA runs recurring AWS events
PRE-PITCH,MadAi - AI agent tech debt,2026-09-17,Puerta Innovacion,Asier Marques,madai,37,Free,https://luma.com/mq1ffwe1,MadAi is a recurring Madrid AI community
PRE-PITCH,Real AI - Ingenieria agentica,2026-09-17,Sol,Alejandro Vidal / Eusebio Graciani / Alvaro Fragoso,real-ai,74 SOLD OUT,Free,https://luma.com/h6z7na7z,Sold out at 74 - active recurring community
